time,iqs,ids,torque,rpm,vqs,vds
0.0,9.844632,-1.7799907,-0.083050065,0.9904789,179.62924,0.0
0.001,16.367643,-5.8284883,-0.32610732,3.9925852,179.62924,0.0
0.002,19.885876,-10.623903,-1.1007808,5.68434,179.62924,0.0
0.003,21.054949,-15.034258,-2.8163004,2.6211524,179.62924,0.0
0.004,20.65192,-18.51952,-5.4303384,-2.1536493,179.62924,0.0
0.0050000004,19.364426,-20.964188,-8.954649,-8.20869,179.62924,0.0
0.006,17.745623,-22.329288,-12.91215,-15.020524,179.62924,0.0
0.007,16.195635,-22.857521,-16.808859,-19.069288,179.62924,0.0
0.008,14.934541,-22.842432,-19.975996,-33.964066,179.62924,0.0
0.009000001,13.998892,-22.501677,-21.932667,-45.131054,179.62924,0.0
0.010000001,13.434633,-22.034193,-22.251514,-49.880527,179.62924,0.0
0.011000001,13.099959,-21.51303,-20.697107,-56.015846,179.62924,0.0
0.012,12.985127,-21.09001,-17.425423,-64.53074,179.62924,0.0
0.013,12.9927,-20.715956,-12.958433,-75.23889,179.62924,0.0
0.014,13.056253,-20.369116,-7.787908,-89.91254,179.62924,0.0
0.015000001,13.202873,-20.105059,-2.6548784,-82.55173,179.62924,0.0
0.016,13.4178295,-19.84642,1.539204,-98.65543,179.62924,0.0
0.017,13.688063,-19.703573,4.2848473,-84.26027,179.62924,0.0
0.018000001,14.012072,-19.680876,5.104145,-85.4767,179.62924,0.0
0.019000001,14.337984,-19.727398,3.987524,-77.588974,179.62924,0.0
0.020000001,14.617473,-19.878668,1.0230153,-84.81771,179.62924,0.0
0.021000002,14.81008,-20.145113,-3.302704,-78.49765,179.62924,0.0
0.022000002,14.9053545,-20.44846,-8.350314,-81.14177,179.62924,0.0
0.023000002,14.8812275,-20.762882,-13.315482,-90.7282,179.62924,0.0
0.024,14.775727,-21.067158,-17.551506,-103.034256,179.62924,0.0
0.025,14.553342,-21.320543,-20.434479,-107.33798,179.62924,0.0
0.026,14.295761,-21.529663,-21.496857,-113.85375,179.62924,0.0
0.027,13.937512,-21.6049,-20.56525,-126.74626,179.62924,0.0
0.028,13.573087,-21.57837,-17.694479,-144.4922,179.62924,0.0
0.029000001,13.244247,-21.404842,-13.529183,-149.36075,179.62924,0.0
0.030000001,12.9734125,-21.108376,-8.489034,-143.6417,179.62924,0.0
0.031000001,12.829257,-20.718277,-3.4875414,-146.58932,179.62924,0.0
0.032,12.897029,-20.283863,0.6884304,-150.65518,179.62924,0.0
0.033,13.148372,-19.861893,3.475287,-149.32127,179.62924,0.0
0.034,13.515585,-19.591816,4.412954,-153.7615,179.62924,0.0
0.035,14.019999,-19.491486,3.291692,-147.55621,179.62924,0.0
0.036000002,14.487274,-19.599838,0.43102562,-146.46709,179.62924,0.0
0.037,14.88995,-19.860342,-3.6978824,-148.07481,179.62924,0.0
0.038000003,15.167309,-20.299343,-8.572593,-149.49644,179.62924,0.0
0.039,15.263141,-20.790583,-13.316531,-163.08269,179.62924,0.0
0.040000003,15.196716,-21.281515,-17.311064,-165.7822,179.62924,0.0
