time,iqs,ids,torque,rpm,vqs,vds
0.0,9.560418,-1.7284207,-0.09451556,7.7176704,179.62924,0.0
0.001,15.5297165,-5.4379716,-0.39364314,0.7624044,179.62924,0.0
0.002,18.56462,-9.515688,-1.3096719,-7.486663,179.62924,0.0
0.003,19.493467,-13.073319,-3.04464,-4.1079683,179.62924,0.0
0.004,19.179148,-15.719223,-5.8986983,-4.635593,179.62924,0.0
0.0050000004,18.270216,-17.461275,-9.4468775,5.458721,179.62924,0.0
0.006,17.166576,-18.424234,-13.265131,0.59524345,179.62924,0.0
0.007,16.17486,-18.785484,-16.94122,-13.164275,179.62924,0.0
0.008,15.361135,-18.799915,-19.779451,-29.009588,179.62924,0.0
0.009000001,14.843402,-18.646822,-21.300844,-36.998344,179.62924,0.0
0.010000001,14.45581,-18.360195,-21.197632,-59.61586,179.62924,0.0
0.011000001,14.277959,-18.11241,-19.445904,-44.895096,179.62924,0.0
0.012,14.189868,-17.904158,-16.179186,-75.11015,179.62924,0.0
0.013,14.138868,-17.665411,-11.754606,-75.603264,179.62924,0.0
0.014,14.150162,-17.432306,-7.0282426,-80.4538,179.62924,0.0
0.015000001,14.235903,-17.21638,-2.4943168,-89.563774,179.62924,0.0
0.016,14.352179,-17.044275,1.0285923,-80.16773,179.62924,0.0
0.017,14.585201,-16.929125,3.0702748,-83.60985,179.62924,0.0
0.018000001,14.822768,-16.850525,3.3293586,-76.39011,179.62924,0.0
0.019000001,15.067966,-16.907003,1.8999641,-85.48045,179.62924,0.0
0.020000001,15.337281,-17.04018,-1.0577432,-81.05049,179.62924,0.0
0.021000002,15.448535,-17.277767,-5.216461,-98.17694,179.62924,0.0
0.022000002,15.513415,-17.510332,-9.787296,-100.26783,179.62924,0.0
0.023000002,15.497509,-17.786467,-14.191696,-89.77293,179.62924,0.0
0.024,15.424674,-18.05824,-17.686243,-104.358185,179.62924,0.0
0.025,15.216177,-18.24412,-19.855328,-104.387184,179.62924,0.0
0.026,14.997211,-18.403887,-20.337868,-116.185486,179.62924,0.0
0.027,14.72178,-18.455254,-19.042475,-129.36069,179.62924,0.0
0.028,14.397502,-18.418743,-16.230318,-140.77657,179.62924,0.0
0.029000001,14.139681,-18.264366,-12.177007,-135.84398,179.62924,0.0
0.030000001,13.950157,-18.005726,-7.646444,-156.10974,179.62924,0.0
0.031000001,13.862397,-17.684292,-3.3498662,-159.99242,179.62924,0.0
0.032,13.958276,-17.327127,0.1061927,-140.8918,179.62924,0.0
0.033,14.155944,-17.00492,2.1601944,-142.70961,179.62924,0.0
0.034,14.493488,-16.81757,2.5600338,-152.28874,179.62924,0.0
0.035,14.8972435,-16.786404,1.1937814,-160.90907,179.62924,0.0
0.036000002,15.277345,-16.850813,-1.6211084,-162.51372,179.62924,0.0
0.037,15.574805,-17.1324,-5.544992,-151.12454,179.62924,0.0
0.038000003,15.800604,-17.47626,-9.873405,-155.69037,179.62924,0.0
0.039,15.860251,-17.879929,-13.985834,-155.9433,179.62924,0.0
0.040000003,15.754111,-18.286068,-17.223703,-177.10242,179.62924,0.0
0.041,15.525949,-18.656067,-19.07032,-180.74834,179.62924,0.0
0.042000003,15.1880865,-18.882647,-19.25537,-190.74225,179.62924,0.0
0.043,14.751196,-19.001104,-17.87581,-197.85793,179.62924,0.0
0.044000003,14.31852,-18.971722,-14.918738,-212.5068,179.62924,0.0
0.045,13.908653,-18.712103,-10.992271,-200.73148,179.62924,0.0
